t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
2,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,demiryent_s002_a010,demiryent,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,demiryent_s008_a053,demiryent,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,demiryent_s007_a096,demiryent,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,diyanetisleriyeni_s002_a010,diyanetisleriyeni,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,diyanetisleriyeni_s008_a053,diyanetisleriyeni,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,diyanetisleriyeni_s007_a096,diyanetisleriyeni,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,diyanetvakfi_s002_a010,diyanetvakfi,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,diyanetvakfi_s008_a053,diyanetvakfi,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,diyanetvakfi_s007_a096,diyanetvakfi,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,edip_s002_a010,edip,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.245000,-0.245000,0
1,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.453250,-0.453250,0
2,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.630262,-0.630262,0
3,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.780723,-0.780723,0
4,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.908615,-0.908615,0
5,edip_s008_a053,edip,8,53,teleological_surface,0,0.000000,0.700000,0.000000,1.017322,-1.017322,0
0,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,edip_s007_a096,edip,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,elmalilisade_s002_a010,elmalilisade,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,elmalilisade_s008_a053,elmalilisade,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,elmalilisade_s007_a096,elmalilisade,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,erhanaktas_s002_a010,erhanaktas,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.245000,-0.245000,0
1,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.453250,-0.453250,0
2,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.630262,-0.630262,0
3,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.780723,-0.780723,0
4,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,0.908615,-0.908615,0
5,erhanaktas_s008_a053,erhanaktas,8,53,teleological_surface,0,0.000000,0.700000,0.000000,1.017322,-1.017322,0
0,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
1,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
2,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
3,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
4,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
5,erhanaktas_s007_a096,erhanaktas,7,96,conditional_only,1,0.000000,0.000000,0.000000,0.000000,-1.500000,0
0,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,golpinarli_s002_a010,golpinarli,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,golpinarli_s008_a053,golpinarli,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,golpinarli_s007_a096,golpinarli,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,haydarozturkserkanyilmaz_s002_a010,haydarozturkserkanyilmaz,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,haydarozturkserkanyilmaz_s008_a053,haydarozturkserkanyilmaz,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
3,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,1.115319,0.000000,-0.384681,0
4,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,1.298021,0.000000,-0.201979,0
5,haydarozturkserkanyilmaz_s007_a096,haydarozturkserkanyilmaz,7,96,ABL_dominant,1,1.000000,0.000000,1.453318,0.000000,-0.046682,0
0,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,hayrat_s002_a010,hayrat,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,hayrat_s008_a053,hayrat,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,hayrat_s007_a096,hayrat,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,hbasricantay_s002_a010,hbasricantay,2,10,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,hbasricantay_s008_a053,hbasricantay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,hbasricantay_s007_a096,hbasricantay,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
1,hbasricantay_s007_a096,hbasricantay,7,96,ABL_dominant,1,1.000000,0.000000,0.647500,0.000000,-0.852500,0
2,hbasricantay_s007_a096,hbasricantay,7,96,ABL_dominant,1,1.000000,0.000000,0.900375,0.000000,-0.599625,0
